,nb Fields,Crop 1,Crop 2,Crop 3,Crop 4,Cover,Structure,N need
0,1,African eggplant,Banana,Cassava 2,Sesame,-1.6,0.0,1.8
1,1,African eggplant,Banana,Cassava 2,None,-1.6,0.0,2.2
2,1,African eggplant,Banana,None,None,-2.0,0.0,2.0
