Nutrients,
Water,
Energy,
Protein,
Fat,
Carbohydrates,
Fiber,
Calcium,
Iron,
Magnesium,
Phosphorus,
Potassium,
Zinc,
Copper,
Manganese,
Selenium,
Vitamin C,
Thiamin,
Riboflavin,
Niacin,
Pantothenic acid,
Vitamin B-6,
Folate,
Vitamin E,
Vitamin K,
